// Containers
NOUN(Flagon), TAG(Container), Tag(Handheld)
NOUN(Tankard), TAG(Container), TAG(Handheld)
NOUN(Goblet), TAG(Container), TAG(Handheld)
NOUN(Mug), TAG(Container), TAG(Handheld)
NOUN(Cup), TAG(Container), TAG(Handheld)
NOUN(Flask), TAG(Container), TAG(Handheld)
NOUN(Jug), TAG(Container), TAG(Handheld)
NOUN(Barrel), TAG(Container)
NOUN(Keg), TAG(Container)
NOUN(Couldron), TAG(Container), TAG(Cooking)
NOUN(Pot), TAG(Container), TAG(Cooking)
NOUN(Saucepan), TAG(Container), TAG(Cooking)
// Cutlery
NOUN(Knife), TAG(Weapon), TAG(Blade), TAG(Cutlery), TAG(Cooking), TAG(Tool)
NOUN(Fork), TAG(Cutlery), TAG(Cooking)
NOUN(Spoon), TAG(Cutlery), TAG(Cooking)
// Weapons
NOUN(Dagger), TAG(Weapon), TAG(Blade)
NOUN(Rapier), TAG(Weapon), TAG(Blade)
NOUN(Longsword), TAG(Weapon), TAG(Blade)
NOUN(Shortsword), TAG(Weapon), TAG(Blade)
NOUN(Broadsword), TAG(Weapon), TAG(Blade)
NOUN(Sidesword), TAG(Weapon), TAG(Blade)
NOUN(Spear), TAG(Weapon), TAG(Blade)
NOUN(Halbard), TAG(Weapon), TAG(Blade)
NOUN(Axe), TAG(Weapon), TAG(Blade), TAG(Tool)
NOUN(Pike), TAG(Weapon), TAG(Blade)
NOUN(Hammer), TAG(Weapon), TAG(Blunt), TAG(Tool)
NOUN(Mace), TAG(Weapon), TAG(Blunt)
// Professions
NOUN(Bard), TAG(Profession), TAG(Music), TAG(Male), TAG(Female)
NOUN(Harper), TAG(Profession), TAG(Music), TAG(Harp), TAG(Male), TAG(Female)
NOUN(Lutist), TAG(Profession), TAG(Music), TAG(Lute), TAG(Male), TAG(Female)
NOUN(Guitarist), TAG(Profession), TAG(Music), TAG(Guitar), TAG(Male), TAG(Female)
NOUN(Pianist), TAG(Profession), TAG(Music), TAG(Piano), TAG(Male), TAG(Female)
NOUN(Piper), TAG(Profession), TAG(Music), TAG(Pipe), TAG(Male), TAG(Female)
NOUN(Barkeep), TAG(Profession), TAG(Bar), TAG(Male), TAG(Female)
NOUN(Chef), TAG(Profession), TAG(Food), TAG(Male), TAG(Femail)
NOUN(Waiter), TAG(Profession), TAG(Service), TAG(Food), TAG(Male)
NOUN(Waitress), TAG(Profession), TAG(Service), TAG(Food), TAG(Female)
// Instruments
NOUN(Harp), TAG(Instrument), TAG(String)
NOUN(Lute), TAG(Instrument), TAG(String)
NOUN(Guitar), TAG(Instrument), TAG(String)
NOUN(Piano), TAG(Instrument), TAG(Keyed)
NOUN(Pipes), TAG(Instrument), TAG(Wind)
